equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x3,1.3707871367315934,2.2278279770088063,0.857040840277213,0.857040840277213,Animal6,Day1
dx2/dt,x3,2.7803441984066035,1.9380037686023543,-0.8423404298042492,0.8423404298042492,Animal6,Day1
dx1/dt,x2,2.96807885964222,2.267107451915567,-0.7009714077266529,0.7009714077266529,Animal6,Day1
dx2/dt,x1 x2,-0.6913812646022136,0.0,0.6913812646022136,0.6913812646022136,Animal6,Day1
dx3/dt,x2,-2.6508923405466773,-3.3413120078910263,-0.690419667344349,0.690419667344349,Animal6,Day1
dx2/dt,x2,-0.23235698519739667,0.36112026465741703,0.5934772498548138,0.5934772498548138,Animal6,Day1
dx1/dt,x1 x2,0.7239496795638817,0.20792478725505162,-0.5160248923088301,0.5160248923088301,Animal6,Day1
dx1/dt,x1 x3,-0.344407773376411,0.0,0.344407773376411,0.344407773376411,Animal6,Day1
dx1/dt,x2^2,-0.3386083821225619,0.0,0.3386083821225619,0.3386083821225619,Animal6,Day1
dx2/dt,x2^2,0.24563394628358315,-0.08449842503191851,-0.33013237131550166,0.33013237131550166,Animal6,Day1
dx3/dt,x1 x2,0.13971850167669297,-0.13383218953831272,-0.2735506912150057,0.2735506912150057,Animal6,Day1
dx2/dt,x2 x3,0.38714198081101275,0.1177541227706898,-0.26938785804032295,0.26938785804032295,Animal6,Day1
dx2/dt,x3^2,-0.263133386147029,0.0,0.263133386147029,0.263133386147029,Animal6,Day1
dx2/dt,x1 x3,0.24623951974812164,0.0,-0.24623951974812164,0.24623951974812164,Animal6,Day1
dx3/dt,x1 x3,0.0,0.20366542257221096,0.20366542257221096,0.20366542257221096,Animal6,Day1
dx2/dt,x1,-2.5449926581895794,-2.3540781114085583,0.19091454678102115,0.19091454678102115,Animal6,Day1
dx1/dt,x3,-1.10952187505939,-0.9256067718278569,0.18391510323153315,0.18391510323153315,Animal6,Day1
dx1/dt,x3^2,0.16785887536386784,0.0,-0.16785887536386784,0.16785887536386784,Animal6,Day1
dx3/dt,x2 x3,-0.30351924828110544,-0.13930284209114419,0.16421640618996125,0.16421640618996125,Animal6,Day1
dx1/dt,x1,-1.521732588514978,-1.3939880632364803,0.12774452527849767,0.12774452527849767,Animal6,Day1
dx3/dt,x3^2,0.09808304086841098,0.0,-0.09808304086841098,0.09808304086841098,Animal6,Day1
dx1/dt,x2 x3,-0.09145187123095637,0.0,0.09145187123095637,0.09145187123095637,Animal6,Day1
dx3/dt,x2^2,0.0,0.08915990513257067,0.08915990513257067,0.08915990513257067,Animal6,Day1
dx2/dt,x1^2,0.085736307076099,0.0,-0.085736307076099,0.085736307076099,Animal6,Day1
dx1/dt,x1^2,-0.05205256122710598,-0.1340072152852471,-0.08195465405814112,0.08195465405814112,Animal6,Day1
dx3/dt,x1,0.9496672857371179,1.0243120454203214,0.0746447596832035,0.0746447596832035,Animal6,Day1
